URN,RELDENOM,EGENDER,KS2APS,TTAPSCP_PTQ_EE
137772,None,MIXED,27.8,338.1
101821,Roman Catholic,MIXED,27.3,322.9
101842,None,MIXED,NP,118.3
131280,Roman Catholic,GIRLS,27.9,322.8
101837,None,BOYS,NP,175
138187,Does not apply,MIXED,28.4,344.9
101853,Does not apply,MIXED,20.4,34.2
101851,Does not apply,MIXED,9.9,24.8
133438,None,MIXED,NP,27.2
131721,None,BOYS,NP,SUPP
101856,Does not apply,MIXED,3,NE
101852,Does not apply,MIXED,13,17.6
,,,27.4,320.5
131982,None,MIXED,NP,349.8
101932,Does not apply,MIXED,26,282.9
134369,Does not apply,MIXED,26,285.3
135155,None,GIRLS,NP,339.4
101948,None,MIXED,NP,257.3
101939,None,MIXED,27.1,322.3
101934,Roman Catholic,MIXED,28,353.1
101930,Does not apply,MIXED,25.6,307
137221,None,MIXED,27.9,338.3
133444,None,MIXED,NP,225.3
101964,None,MIXED,NP,SUPP
101941,None,GIRLS,27.6,350.8
131310,Does not apply,MIXED,28.1,354.8
137729,Does not apply,MIXED,26.7,319.4
101940,None,MIXED,27,339.6
101957,None,MIXED,NP,58.3
101943,None,MIXED,25.6,303.6
101954,None,GIRLS,NP,356.4
101946,None,GIRLS,NP,360.7
101947,Roman Catholic,MIXED,NP,374.3
137546,Church of England,MIXED,29,374.9
101928,None,MIXED,27.3,313
139725,Church of England,MIXED,,
101965,Does not apply,MIXED,11.1,8.8
135493,None,MIXED,NP,76.5
101969,Does not apply,MIXED,10.3,67.8
135794,None,MIXED,NP,21.8
101971,Does not apply,MIXED,3,NE
101970,Does not apply,MIXED,12.9,8.2
101953,None,MIXED,NP,SUPP
,,,26.8,321
139815,None,MIXED,,
136147,Does not apply,MIXED,23.6,280.7
102052,Church of England,MIXED,27.2,311.1
102056,None,MIXED,26.5,303.5
102049,Does not apply,MIXED,27.2,314
102043,Does not apply,MIXED,26.8,328
102048,Does not apply,GIRLS,28.4,328.7
137094,None,BOYS,28.6,318.7
141247,None,MIXED,NP,SUPP
135839,None,MIXED,NP,SUPP
139599,Does not apply,MIXED,,
132256,Does not apply,MIXED,28.6,335.2
136327,Does not apply,MIXED,27,303.5
102055,None,MIXED,33.2,438.1
102050,Does not apply,MIXED,26.3,291.4
136157,Does not apply,MIXED,23.8,273.4
134311,Christian,MIXED,26.3,286.6
135958,Christian,MIXED,25.3,293.7
102061,None,GIRLS,NP,344.8
102053,Roman Catholic,GIRLS,28.2,366.5
102058,Roman Catholic,BOYS,28.6,336.3
102065,None,MIXED,NP,393.1
102047,Does not apply,MIXED,28.2,343.9
102045,Does not apply,MIXED,27.2,318.7
102068,Does not apply,MIXED,SUPP,SUPP
102066,Does not apply,MIXED,7,NE
102069,Does not apply,MIXED,8.1,0
102070,Does not apply,MIXED,3,NE
102067,Does not apply,MIXED,15.4,16.3
,,,27.1,315.2
137531,Does not apply,MIXED,28.4,352.3
102162,None,GIRLS,NP,230.9
102156,None,MIXED,30,360.8
102157,Does not apply,MIXED,26.2,285
133386,Church of England,MIXED,26.4,301
140935,None,MIXED,,
139616,Does not apply,MIXED,26.3,313.1
102163,Christian,MIXED,NP,377.1
102154,Does not apply,MIXED,28.1,344.5
102153,Does not apply,GIRLS,27,337.6
102155,Does not apply,MIXED,24.6,277.8
131757,Does not apply,MIXED,25.7,285.6
139362,Roman Catholic,MIXED,25,322.2
140968,None,MIXED,,
137745,Does not apply,MIXED,25,298.4
102175,Does not apply,MIXED,16.4,116.9
102178,Does not apply,MIXED,7.4,NE
135534,Does not apply,MIXED,NP,NE
102176,Does not apply,MIXED,8,18.5
,,,26.6,312.8
138227,Hindu,MIXED,,
137178,Does not apply,GIRLS,27.1,366.7
137199,Does not apply,MIXED,26.2,325.3
137177,Does not apply,MIXED,25.8,299.1
102245,Church of England,BOYS,NP,242
137204,Does not apply,MIXED,26.5,329.2
102247,None,BOYS,NP,196.2
135334,None,MIXED,NP,SUPP
102257,None,GIRLS,NP,324.5
137028,Does not apply,MIXED,28.4,352.6
137075,Does not apply,MIXED,28.3,333.5
135687,None,MIXED,NP,SUPP
134891,None,MIXED,NP,SUPP
137198,Does not apply,MIXED,25.8,323.9
102243,Roman Catholic,GIRLS,29,360.2
138458,Roman Catholic,BOYS,28.8,323.5
141071,Does not apply,MIXED,,
102239,Does not apply,MIXED,27.9,358.8
133317,Does not apply,MIXED,3,NE
102260,Does not apply,MIXED,13,1.8
,,,27.3,334.7
136663,None,MIXED,28.6,332
137189,None,MIXED,28,296.4
139307,Does not apply,MIXED,26.6,287.9
136576,None,MIXED,27.4,310.6
137040,Roman Catholic,BOYS,29.3,352.1
140300,None,MIXED,27.8,297.8
136600,Christian,MIXED,30.3,365.7
136090,Does not apply,MIXED,25.1,264.3
137414,Does not apply,MIXED,28.1,319.5
138326,None,GIRLS,28.1,324.5
102344,Does not apply,MIXED,28.1,307.1
137197,None,MIXED,28.2,334.7
102360,None,MIXED,NP,388
102345,Does not apply,MIXED,26.7,298.6
102358,None,MIXED,NP,SUPP
137396,Does not apply,MIXED,27.5,329.8
102343,None,BOYS,26.7,292.6
137233,Roman Catholic,GIRLS,29.5,373.7
137145,Church of England,MIXED,28.5,313.1
102341,None,MIXED,27.3,307.8
102362,Does not apply,MIXED,6,NE
102363,Does not apply,MIXED,SUPP,SUPP
142050,Does not apply,MIXED,,
102364,Does not apply,MIXED,SUPP,SUPP
,,,27.8,315.4
102449,None,BOYS,26.9,291.5
137844,None,MIXED,26.2,299.4
137407,Church of England,MIXED,29.3,352
137633,None,MIXED,27.8,337
141035,Does not apply,MIXED,,
137925,Roman Catholic,MIXED,27.9,327.8
136329,Sikh,MIXED,28.6,355.7
135004,Does not apply,MIXED,27.8,298.4
102451,None,MIXED,25.8,300.1
136519,None,MIXED,29.2,348.9
140941,None,MIXED,,
137078,None,MIXED,25.4,327.2
102452,None,GIRLS,NP,348.7
137829,None,MIXED,27.2,335.5
138368,Does not apply,MIXED,24,214.5
136711,None,MIXED,27.6,340.1
137077,None,MIXED,27.4,344.6
